"REF_DATE","GEO","DGUID","Type of vehicle","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","New Brunswick","2016A000213","Total, road motor vehicle registrations","Number","223","units ","0","v1456770","5.2","457804","","r","","0"
"2000","New Brunswick","2016A000213","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456771","5.3","431284","","r","","0"
"2000","New Brunswick","2016A000213","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456772","5.4","10144","","r","","0"
"2000","New Brunswick","2016A000213","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456773","5.5","4402","","r","","0"
"2000","New Brunswick","2016A000213","Buses","Number","223","units ","0","v1456774","5.6","2611","","r","","0"
"2000","New Brunswick","2016A000213","Motorcycles and mopeds","Number","223","units ","0","v1456775","5.7","9364","","r","","0"
"2000","New Brunswick","2016A000213","Trailers","Number","223","units ","0","v1456776","5.8","64239","","r","","0"
"2000","New Brunswick","2016A000213","Off-road, construction, farm vehicles","Number","223","units ","0","v1456777","5.9","40519","","r","","0"
"2000","Quebec","2016A000224","Total, vehicle registrations","Number","223","units ","0","v1456778","6.1","6209081","","r","","0"
"2000","Quebec","2016A000224","Total, road motor vehicle registrations","Number","223","units ","0","v1456779","6.2","4045409","","r","","0"
"2000","Quebec","2016A000224","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456780","6.3","3835380","","r","","0"
"2000","Quebec","2016A000224","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456781","6.4","51492","","r","","0"
"2000","Quebec","2016A000224","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456782","6.5","32437","","r","","0"
"2000","Quebec","2016A000224","Buses","Number","223","units ","0","v1456783","6.6","16218","","r","","0"
"2000","Quebec","2016A000224","Motorcycles and mopeds","Number","223","units ","0","v1456784","6.7","109883","","r","","0"
"2000","Quebec","2016A000224","Trailers","Number","223","units ","0","v1456785","6.8","1053473","","r","","0"
"2000","Quebec","2016A000224","Off-road, construction, farm vehicles","Number","223","units ","0","v1456786","6.9","1110199","","r","","0"
"2000","Ontario","2016A000235","Total, vehicle registrations","Number","223","units ","0","v1456787","7.1","8610701","","r","","0"
"2000","Ontario","2016A000235","Total, road motor vehicle registrations","Number","223","units ","0","v1456788","7.2","6638943","","r","","0"
"2000","Ontario","2016A000235","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456789","7.3","6344239","","r","","0"
"2000","Ontario","2016A000235","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456790","7.4","80227","","r","","0"
"2000","Ontario","2016A000235","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456791","7.5","103494","","r","","0"
"2000","Ontario","2016A000235","Buses","Number","223","units ","0","v1456792","7.6","27028","","r","","0"
"2000","Ontario","2016A000235","Motorcycles and mopeds","Number","223","units ","0","v1456793","7.7","83955","","r","","0"
"2000","Ontario","2016A000235","Trailers","Number","223","units ","0","v1456794","7.8","1678811","","r","","0"
"2000","Ontario","2016A000235","Off-road, construction, farm vehicles","Number","223","units ","0","v1456795","7.9","292947","","r","","0"
"2000","Manitoba","2016A000246","Total, vehicle registrations","Number","223","units ","0","v1456796","8.1","780566","","r","","0"
"2000","Manitoba","2016A000246","Total, road motor vehicle registrations","Number","223","units ","0","v1456797","8.2","611378","","r","","0"
"2000","Manitoba","2016A000246","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456798","8.3","583721","","r","","0"
"2000","Manitoba","2016A000246","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456799","8.4","9877","","r","","0"
"2000","Manitoba","2016A000246","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456800","8.5","10975","","r","","0"
"2000","Manitoba","2016A000246","Buses","Number","223","units ","0","v1456801","8.6","3548","","r","","0"
"2000","Manitoba","2016A000246","Motorcycles and mopeds","Number","223","units ","0","v1456802","8.7","3257","","r","","0"
"2000","Manitoba","2016A000246","Trailers","Number","223","units ","0","v1456803","8.8","88145","","r","","0"
"2000","Manitoba","2016A000246","Off-road, construction, farm vehicles","Number","223","units ","0","v1456804","8.9","81044","","r","","0"
"2000","Saskatchewan","2016A000247","Total, vehicle registrations","Number","223","units ","0","v1456805","9.1","815403","","r","","0"
"2000","Saskatchewan","2016A000247","Total, road motor vehicle registrations","Number","223","units ","0","v1456806","9.2","706135","","r","","0"
"2000","Saskatchewan","2016A000247","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456807","9.3","619932","","r","","0"
"2000","Saskatchewan","2016A000247","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456808","9.4","50684","","r","","0"
"2000","Saskatchewan","2016A000247","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456809","9.5","25107","","r","","0"
"2000","Saskatchewan","2016A000247","Buses","Number","223","units ","0","v1456810","9.6","3893","","r","","0"
"2000","Saskatchewan","2016A000247","Motorcycles and mopeds","Number","223","units ","0","v1456811","9.7","6520","","r","","0"
"2000","Saskatchewan","2016A000247","Trailers","Number","223","units ","0","v1456812","9.8","102048","","r","","0"
"2000","Saskatchewan","2016A000247","Off-road, construction, farm vehicles","Number","223","units ","0","v1456813","9.9","7221","","r","","0"
"2000","Alberta","2016A000248","Total, vehicle registrations","Number","223","units ","0","v1456814","10.1","2867408","","r","","0"
"2000","Alberta","2016A000248","Total, road motor vehicle registrations","Number","223","units ","0","v1456815","10.2","2150313","","r","","0"
"2000","Alberta","2016A000248","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456816","10.3","1926497","","r","","0"
"2000","Alberta","2016A000248","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456817","10.4","110186","","r","","0"
"2000","Alberta","2016A000248","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456818","10.5","65057","","r","","0"
"2000","Alberta","2016A000248","Buses","Number","223","units ","0","v1456819","10.6","11905","","r","","0"
"2000","Alberta","2016A000248","Motorcycles and mopeds","Number","223","units ","0","v1456820","10.7","36669","","r","","0"
"2000","Alberta","2016A000248","Trailers","Number","223","units ","0","v1456821","10.8","652004","","r","","0"
