"REF_DATE","GEO","DGUID","Type of fuel sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988","Manitoba","2016A000246","Gross sales of gasoline","Litres","203","thousands","3","v74749","8.2","1554980","","","","0"
"1988","Manitoba","2016A000246","Net sales of diesel oil","Litres","203","thousands","3","v74788","8.3","243362","","","","0"
"1988","Manitoba","2016A000246","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74801","8.4","26820","","","","0"
"1988","Saskatchewan","2016A000247","Net sales of gasoline","Litres","203","thousands","3","v74737","9.1","1157310","","","","0"
"1988","Saskatchewan","2016A000247","Gross sales of gasoline","Litres","203","thousands","3","v74750","9.2","1801927","","","","0"
"1988","Saskatchewan","2016A000247","Net sales of diesel oil","Litres","203","thousands","3","v74789","9.3","470646","","","","0"
"1988","Saskatchewan","2016A000247","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74802","9.4","43742","","","","0"
"1988","Alberta","2016A000248","Net sales of gasoline","Litres","203","thousands","3","v74738","10.1","3771623","","","","0"
"1988","Alberta","2016A000248","Gross sales of gasoline","Litres","203","thousands","3","v74751","10.2","4297317","","","","0"
"1988","Alberta","2016A000248","Net sales of diesel oil","Litres","203","thousands","3","v74790","10.3","1252186","","","","0"
"1988","Alberta","2016A000248","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74803","10.4","0","","","","0"
"1988","British Columbia","2016A000259","Net sales of gasoline","Litres","203","thousands","3","v74728","11.1","3597655","","","","0"
"1988","British Columbia","2016A000259","Gross sales of gasoline","Litres","203","thousands","3","v74741","11.2","3749629","","","","0"
"1988","British Columbia","2016A000259","Net sales of diesel oil","Litres","203","thousands","3","v74780","11.3","882119","","","","0"
"1988","British Columbia","2016A000259","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74793","11.4","0","","","","0"
"1988","Yukon","2016A000260","Net sales of gasoline","Litres","203","thousands","3","v74729","12.1","60662","","","","0"
